day_obs,countVisitperBandperNight
20230117,130
20230118,138
20230119,76
20230131,208
20230201,124
20230202,122
20230214,44
20230215,70
20230216,43
20230228,26
20230301,80
20230302,45
20230314,57
20230315,67
20230316,56
20230509,73
20230510,103
20230511,28
20230523,122
20230524,145
20230525,4
20230718,2
20230720,22
20230801,5
20230802,66
20230815,4
20230817,78
20230829,63
20230912,24
20230913,21
20230914,25
20230926,66
20230927,46
20230928,44
20231010,56
20231107,30
20231108,8
20231113,13
20231114,21
20231115,28
20231116,24
20231120,34
20231127,29
20231128,36
20231129,24
20231130,24
20231204,24
20231205,19
20231206,14
20231207,18
20231211,24
20231212,20
20231214,24
20231215,21
20231219,14
20231220,16
20231221,16
20231222,24
20240129,4
20240130,2
20240205,4
20240206,6
20240207,6
20240212,14
20240213,13
20240214,9
20240215,4
20240219,16
20240220,7
20240223,2
20240226,16
20240227,16
20240228,5
20240229,4
20240301,15
20240303,18
20240304,17
20240305,31
20240306,19
20240307,28
20240308,21
20240311,2
